Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,22,17,1,4,70,25,+45,52,60.7,21.5,+39.3,+1.79,L W W W L,22909,Robert Lewandowski - 26,Manuel Neuer,
2,Dortmund,21,14,1,6,54,36,+18,43,38.9,28.4,+10.6,+0.50,L W W W L,31379,Erling Haaland - 16,Gregor Kobel,
3,Leverkusen,22,12,5,5,58,36,+22,41,41.2,32.1,+9.1,+0.42,D W W W W,14184,Patrik Schick - 19,Lukáš Hrádecký,
4,RB Leipzig,22,10,4,8,43,27,+16,34,45.2,32.6,+12.6,+0.57,W W W L W,15865,Christopher Nkunku - 11,Péter Gulácsi,
5,Freiburg,22,9,7,6,34,25,+9,34,32.2,28.7,+3.5,+0.16,D L W L D,12050,Lucas Höler Jeong Woo-yeong... - 4,Mark Flekken,
6,Union Berlin,21,9,7,5,29,27,+2,34,31.2,28.3,+2.9,+0.14,W D W W L,11424,Taiwo Awoniyi - 9,Andreas Luthe,
7,FC Koln,22,8,8,6,34,37,-3,32,33.0,33.2,-0.2,-0.01,W L D W L,26918,Anthony Modeste - 14,Timo Horn,
8,Hoffenheim,21,9,4,8,41,34,+7,31,35.3,29.4,+6.0,+0.28,D W L L L,6238,Ihlas Bebou - 7,Oliver Baumann,
9,Mainz,22,9,4,9,31,24,+7,31,31.7,28.5,+3.2,+0.15,L W L W D,13564,Jonathan Burkardt - 7,Robin Zentner,
10,Ein Frankfurt,22,8,7,7,33,34,-1,31,31.9,36.6,-4.7,-0.22,L D L W L,18625,Rafael Borré - 6,Kevin Trapp,
11,Bochum,22,8,4,10,24,32,-8,28,25.0,35.5,-10.6,-0.48,W L D D W,12871,Sebastian Polter - 7,Manuel Riemann,
12,Wolfsburg,22,8,3,11,23,33,-10,27,31.7,30.9,+0.8,+0.04,L D L W W,8485,Wout Weghorst Lukas Nmecha - 6,Koen Casteels,
13,M'gladbach,22,7,5,10,30,40,-10,26,37.0,35.1,+1.9,+0.09,W L L D W,21657,Jonas Hofmann - 8,Yann Sommer,
14,Hertha,22,6,5,11,24,45,-21,23,22.6,37.0,-14.5,-0.66,L D L D L,12609,Marco Richter Stevan Jovetić - 5,Alexander Schwolow,
15,Bielefeld,21,4,10,7,21,27,-6,22,19.7,36.0,-16.3,-0.78,W D D W D,14046,Masaya Okugawa - 7,Stefan Ortega,
16,Augsburg,22,5,7,10,24,38,-14,22,23.9,39.1,-15.2,-0.69,L D L W L,10081,Michael Gregoritsch - 5,Rafał Gikiewicz,
17,Stuttgart,22,4,6,12,26,42,-16,18,24.5,35.0,-10.5,-0.48,D L L L L,17596,Konstantinos Mavropanos - 4,Florian Müller,
18,Greuther Furth,22,3,4,15,20,57,-37,13,23.1,41.0,-17.9,-0.82,D D W L W,5085,Branimir Hrgota - 7,Sascha Burchert,
