Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,30,26.8,61.5,38,418,3420,38.0,73,61,69,4,5,,,1.92,1.61,3.53,1.82,3.42,68.4,64.6,51.3,115.9,1.80,1.35,3.15,1.70,3.05
Bournemouth,22,26.9,47.8,38,418,3420,38.0,45,36,42,3,3,,,1.18,0.95,2.13,1.11,2.05,44.8,42.5,32.2,74.7,1.18,0.85,2.02,1.12,1.97
Brighton,24,27.5,43.7,38,418,3420,38.0,33,25,28,5,7,,,0.87,0.66,1.53,0.74,1.39,37.2,31.8,23.0,54.8,0.98,0.60,1.58,0.84,1.44
Burnley,24,27.5,43.9,38,418,3420,38.0,35,26,35,0,0,,,0.92,0.68,1.61,0.92,1.61,34.5,34.5,23.9,58.4,0.91,0.63,1.54,0.91,1.54
Chelsea,26,26.7,55.4,38,418,3420,38.0,60,42,57,3,3,,,1.58,1.11,2.68,1.50,2.61,57.9,55.7,42.2,97.9,1.52,1.11,2.64,1.46,2.58
Crystal Palace,28,27.1,45.3,38,418,3420,38.0,44,26,36,8,10,,,1.16,0.68,1.84,0.95,1.63,56.1,48.9,33.7,82.6,1.48,0.89,2.36,1.29,2.17
Everton,30,26.7,45.9,38,418,3420,38.0,42,26,37,5,8,,,1.11,0.68,1.79,0.97,1.66,41.5,35.2,24.3,59.6,1.09,0.64,1.73,0.93,1.57
Huddersfield,25,26.4,45.7,38,418,3420,38.0,25,19,23,2,2,,,0.66,0.50,1.16,0.61,1.11,31.7,30.2,21.9,52.1,0.83,0.58,1.41,0.79,1.37
Leicester,27,27.2,47.9,38,418,3420,38.0,53,38,48,5,6,,,1.39,1.00,2.39,1.26,2.26,48.1,43.5,31.9,75.4,1.27,0.84,2.11,1.15,1.99
Liverpool,27,25.6,60.5,38,418,3420,38.0,82,58,80,2,3,,,2.16,1.53,3.68,2.11,3.63,72.8,70.5,50.1,120.6,1.92,1.32,3.23,1.86,3.17
Man City,25,26.4,71.1,38,418,3420,38.0,103,85,97,6,8,,,2.71,2.24,4.95,2.55,4.79,86.4,80.4,63.3,143.7,2.27,1.67,3.94,2.11,3.78
Man Utd,27,26.7,54.8,38,418,3420,38.0,67,53,66,1,3,,,1.76,1.39,3.16,1.74,3.13,60.7,58.2,43.8,102.1,1.60,1.15,2.75,1.53,2.69
Newcastle,27,25.6,41.7,38,418,3420,38.0,38,29,38,0,1,,,1.00,0.76,1.76,1.00,1.76,45.3,44.5,30.6,75.1,1.19,0.80,2.00,1.17,1.98
Southampton,26,26.2,51.5,38,418,3420,38.0,36,23,33,3,3,,,0.95,0.61,1.55,0.87,1.47,42.1,39.9,31.7,71.6,1.11,0.83,1.94,1.05,1.88
Stoke,30,27.5,41.3,38,418,3420,38.0,34,28,34,0,3,,,0.89,0.74,1.63,0.89,1.63,37.5,35.3,25.8,61.1,0.99,0.68,1.67,0.93,1.61
Swansea,26,27.2,45.2,38,418,3420,38.0,27,20,26,1,1,,,0.71,0.53,1.24,0.68,1.21,30.5,29.8,18.4,48.2,0.80,0.48,1.29,0.78,1.27
Tottenham,25,25.8,61.9,38,418,3420,38.0,70,51,68,2,3,,,1.84,1.34,3.18,1.79,3.13,67.3,65.0,48.0,113.0,1.77,1.26,3.03,1.71,2.97
Watford,29,27.9,49.6,38,418,3420,38.0,42,27,39,3,6,,,1.11,0.71,1.82,1.03,1.74,47.4,42.6,29.8,72.4,1.25,0.78,2.03,1.12,1.90
West Brom,24,29.1,40.6,38,418,3420,38.0,31,24,30,1,1,,,0.82,0.63,1.45,0.79,1.42,34.4,33.7,23.3,56.9,0.91,0.61,1.52,0.89,1.50
West Ham,27,28.0,45.0,38,418,3420,38.0,48,29,46,2,4,,,1.26,0.76,2.03,1.21,1.97,39.8,36.8,25.3,62.1,1.05,0.67,1.71,0.97,1.63
