Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Man City,25,20,3,2,61,14,+47,63,57.9,17.2,+40.7,+1.63,W W D W W,52597,Raheem Sterling - 10,Ederson,
2,Liverpool,23,15,6,2,60,19,+41,51,57.0,23.3,+33.6,+1.46,L D W W W,52929,Mohamed Salah - 16,Alisson,
3,Chelsea,24,13,8,3,48,18,+30,47,40.8,22.1,+18.7,+0.78,D D L D W,37758,Mason Mount - 7,Edouard Mendy,
4,West Ham,24,12,4,8,42,31,+11,40,34.0,29.8,+4.2,+0.18,W W L L W,57444,Michail Antonio - 8,Łukasz Fabiański,
5,Man United,24,11,7,6,38,32,+6,40,36.0,34.6,+1.4,+0.06,D W W D D,73030,Cristiano Ronaldo - 8,David de Gea,
6,Arsenal,22,12,3,7,34,25,+9,39,32.7,29.7,+3.0,+0.14,W W L D W,59435,Emile Smith Rowe - 8,Aaron Ramsdale,
7,Tottenham,21,11,3,7,28,27,+1,36,33.1,23.9,+9.1,+0.43,D W W L L,54516,Son Heung-min - 9,Hugo Lloris,
8,Wolves,22,10,4,8,19,17,+2,34,21.9,28.9,-7.0,-0.32,D W W W L,30548,Hwang Hee-chan Raúl Jiménez - 4,José Sá,
9,Brighton,23,7,12,4,25,23,+2,33,27.1,27.5,-0.4,-0.02,W D D D W,30735,Neal Maupay - 8,Robert Sánchez,
10,Southampton,24,6,11,7,30,37,-7,29,30.9,35.2,-4.3,-0.18,W L D W D,29578,James Ward-Prowse Armando Broja... - 6,Alex McCarthy,
11,Aston Villa,22,8,3,11,31,35,-4,27,23.9,30.9,-7.0,-0.32,L L D W D,41856,Jacob Ramsey Ollie Watkins - 5,Emiliano Martínez,
12,Crystal Palace,24,5,11,8,32,35,-3,26,29.2,29.2,0.0,0.00,L D L D D,24332,Conor Gallagher - 7,Vicente Guaita,
13,Leicester,21,7,5,9,34,39,-5,26,31.4,39.2,-7.8,-0.37,L W L D L,32279,Jamie Vardy - 9,Kasper Schmeichel,
14,Brentford,25,6,6,13,26,40,-14,24,29.4,31.7,-2.3,-0.09,L L L L D,16854,Ivan Toney - 6,Álvaro Fernández,
15,Leeds,23,5,8,10,27,46,-19,23,29.4,41.2,-11.8,-0.51,W W L D L,36207,Raphael Dias Belloli - 8,Illan Meslier,
16,Everton,22,6,4,12,28,38,-10,22,27.3,30.7,-3.4,-0.15,L L L L W,38040,Demarai Gray - 5,Jordan Pickford,
17,Newcastle,22,3,9,10,24,44,-20,18,21.5,37.4,-15.9,-0.72,L D D W W,51089,Callum Wilson - 6,Martin Dúbravka,
18,Norwich,24,4,5,15,14,50,-36,17,19.9,43.2,-23.3,-0.97,L W W D L,26892,Teemu Pukki - 6,Tim Krul,
19,Watford,23,4,3,16,23,43,-20,15,24.6,41.0,-16.4,-0.71,D L D L L,20572,Emmanuel Dennis - 8,Ben Foster,
20,Burnley,20,1,11,8,17,28,-11,14,18.7,30.0,-11.3,-0.56,L L D D D,18890,Maxwel Cornet - 6,Nick Pope,
