Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Paris SG,24,18,5,1,52,19,+33,59,45.2,23.1,+22.0,+0.92,D W W W W,39199,Kylian Mbappé - 12,Keylor Navas,
2,Marseille,23,12,7,4,36,20,+16,43,33.4,25.7,+7.7,+0.34,W D W L W,47383,Dimitri Payet - 8,Pau López,
3,Nice,24,13,4,7,36,21,+15,43,38.7,28.8,+9.9,+0.41,W W W L L,12879,Amine Gouiri - 10,Walter Benítez,
4,Strasbourg,23,11,5,7,45,29,+16,38,39.0,28.1,+10.9,+0.47,W W W L W,22388,Ludovic Ajorque - 10,Matz Sels,
5,Rennes,24,11,4,9,43,22,+21,37,38.8,24.4,+14.4,+0.60,L W L W L,24406,Martin Terrier - 11,Alfred Gomis,
6,Lyon,24,10,8,6,33,30,+3,38,41.9,34.9,+7.0,+0.29,W W W L W,25745,Moussa Dembélé - 8,Anthony Lopes,
7,Monaco,23,10,6,7,37,26,+11,36,34.2,25.4,+8.8,+0.38,W D W L W,5118,Wissam Ben Yedder - 14,Alexander Nübel,
8,Lille,24,9,8,7,32,35,-3,35,34.8,27.0,+7.8,+0.33,D W L L W,32235,Jonathan David - 12,Ivo Grbić,
9,Montpellier,24,10,4,10,38,34,+4,34,26.7,32.6,-5.9,-0.25,L L W L L,9911,Stephy Mavididi - 8,Jonas Omlin,
10,Lens,23,9,6,8,36,33,+3,33,33.7,26.2,+7.5,+0.33,L W W L L,23714,Seko Fofana Arnaud Kalimuendo - 6,Jean-Louis Leca,
11,Nantes,23,9,5,9,30,28,+2,32,23.6,30.2,-6.6,-0.29,W D L W L,17072,Randal Kolo Muani - 8,Alban Lafont,
12,Angers,23,7,8,8,30,34,-4,29,26.9,29.7,-2.8,-0.12,L D W L L,6663,Thomas Mangani - 6,Paul Bernardoni,
13,Brest,23,7,7,9,28,35,-7,28,27.3,34.3,-7.0,-0.30,D L L W L,10970,Romain Faivre - 7,Marco Bizot,
14,Reims,23,6,9,8,27,27,0,27,22.5,27.0,-4.4,-0.19,D D L L W,9545,Hugo Ekitike - 9,Predrag Rajković,
15,Clermont,23,6,6,11,23,39,-16,24,26.1,31.0,-4.9,-0.21,D L L W W,9647,Mohamed Bayo - 9,Arthur Desmas,
16,Troyes,23,5,6,12,20,31,-11,21,21.9,32.0,-10.0,-0.44,D L W L D,8274,Xavier Chavalerin - 5,Gauthier Gallon,
17,Lorient,23,4,8,11,20,38,-18,20,26.6,33.4,-6.8,-0.30,D D L L W,12370,Armand Lauriente - 4,Paul Nardi,
18,Metz,23,4,8,11,24,43,-19,20,18.8,35.7,-16.9,-0.74,D L W L D,12180,Fabien Centonze Nicolas de Préville - 4,Alexandre Oukidja,
19,Bordeaux,23,4,8,11,34,58,-24,20,24.9,45.1,-20.2,-0.88,L L L W L,20745,Hwang Ui-jo - 9,Benoît Costil,
20,St Etienne,23,4,6,13,22,44,-22,18,24.8,35.3,-10.5,-0.46,L L L W W,18582,Wahbi Khazri - 8,Etienne Green,
