Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Inter,24,16,6,2,55,20,+35,54,48.1,24.8,+23.3,+0.97,W D W L D,36375,Lautaro Martínez - 11,Samir Handanović,
2,Napoli,25,16,5,4,46,17,+29,53,41.5,17.3,+24.3,+0.97,W W W W D,21840,Dries Mertens - 7,David Ospina,
3,Milan,24,16,4,4,49,26,+23,52,40.5,24.9,+15.5,+0.65,W W L D W,35329,Zlatan Ibrahimović - 8,Mike Maignan,
4,Juventus,24,13,6,5,36,21,+15,45,32.9,21.2,+11.6,+0.48,D W W D W,16461,Paulo Dybala - 7,Wojciech Szczęsny,
5,Atalanta,23,12,7,4,45,28,+17,43,38.7,26.5,+12.2,+0.53,D W D D L,9460,Duván Zapata - 9,Juan Musso,
6,Lazio,25,12,6,7,52,39,+13,42,35.4,32.0,+3.4,+0.14,L W D W W,21000,Ciro Immobile - 19,Pepe Reina,
7,Roma,24,12,3,9,40,30,+10,39,41.1,27.8,+13.3,+0.56,L L W W D,37273,Tammy Abraham - 10,Rui Patrício,
8,Fiorentina,23,11,3,9,41,33,+8,36,36.7,29.5,+7.1,+0.31,D L W D L,17916,Dušan Vlahović - 17,Pietro Terracciano,
9,Verona,24,9,6,9,43,40,+3,33,34.2,29.4,+4.8,+0.20,W L W W L,11154,Giovanni Simeone - 12,Lorenzo Montipò,
10,Torino,24,9,5,10,31,25,+6,32,30.6,22.4,+8.2,+0.34,W W D L L,7637,Josip Brekalo - 6,Vanja Milinković-Savić,
11,Empoli,24,8,6,10,37,47,-10,30,33.3,42.9,-9.5,-0.40,D L D L D,5643,Andrea Pinamonti - 8,Guglielmo Vicario,
12,Sassuolo,24,7,8,9,39,42,-3,29,34.5,38.5,-4.0,-0.17,D W L D L,6470,Domenico Berardi - 10,Andrea Consigli,
13,Bologna,24,8,4,12,29,40,-11,28,25.1,33.0,-7.8,-0.33,L L L D L,13652,Marko Arnautović - 6,Łukasz Skorupski,
14,Udinese,23,6,9,8,33,36,-3,27,26.7,30.0,-3.3,-0.15,W L L D W,10093,Beto - 8,Marco Silvestri,
15,Spezia,24,7,5,12,26,44,-18,26,23.7,41.3,-17.6,-0.73,L W W W D,5423,Daniele Verde - 5,Ivan Provedel,
16,Sampdoria,24,6,5,13,33,41,-8,23,24.7,36.5,-11.8,-0.49,L L L L W,5346,Antonio Candreva - 7,Emil Audero,
17,Venezia,24,5,6,13,22,43,-21,21,21.2,40.5,-19.3,-0.81,L D L L W,6450,Mattia Aramu David Okereke - 5,Sergio Romero,
18,Cagliari,24,4,8,12,24,45,-21,20,25.8,39.4,-13.6,-0.56,W W L D W,7464,João Pedro - 10,Alessio Cragno,
19,Genoa,24,1,11,12,20,45,-25,14,21.5,35.3,-13.8,-0.57,D L L D D,9609,Mattia Destro - 8,Salvatore Sirigu,
20,Salernitana,23,3,3,17,16,55,-39,12,18.3,41.3,-23.1,-1.05,L W L L D,12418,Federico Bonazzoli - 4,Vid Belec,
