id,date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,B365DC,FTHG,FTAG,PSHG,PSAG,PSDG
0,2018-08-17,9,14,-1,1.66,4,5,2.22222222222222,0,3,25,25,0
1,2018-08-17,18,15,-1,1.75,3.6,5,2.09302325581395,0,0,17,16,1
2,2018-08-18,0,10,1,1.11,10,21,6.7741935483871,3,0,51,20,31
3,2018-08-18,16,6,-1,1.85,3.5,4.5,1.96875,1,1,31,20,11
4,2018-08-18,13,8,-1,2.04,3.4,3.8,1.79444444444444,1,2,28,22,6
5,2018-08-19,11,19,-1,1.66,3.75,5.5,2.22972972972973,1,2,31,19,12
6,2018-08-19,1,4,1,1.2,7,13,4.55,2,0,32,20,12
7,2018-08-19,17,5,-1,3.25,3.6,2.14,1.34216027874564,1,4,25,23,2
8,2018-08-20,7,12,1,1.75,3.3,5.5,2.0625,2,1,26,18,8
9,2018-08-20,3,2,-1,3,3.2,2.5,1.40350877192982,1,1,24,23,1
10,2018-08-24,4,11,1,1.95,3.2,4.33,1.84010624169987,2,0,28,15,13
11,2018-08-24,12,8,-1,3.5,3.3,2.1,1.28333333333333,2,2,19,22,-3
12,2018-08-25,10,9,-1,2.8,3.25,2.6,1.44444444444444,0,0,19,19,0
13,2018-08-25,2,17,1,1.16,7,21,5.25,1,0,32,16,16
14,2018-08-25,15,0,-1,17,7.5,1.16,1.00461893764434,0,1,16,39,-23
15,2018-08-26,6,3,1,3.25,3.2,2.37,1.36157989228007,2,0,28,27,1
16,2018-08-26,18,1,-1,8,5.5,1.36,1.09037900874636,1,4,17,31,-14
17,2018-08-26,5,13,-1,1.72,4.2,4.33,2.13200468933177,0,0,39,21,18
18,2018-08-27,7,19,-1,1.61,3.6,6.5,2.31683168316832,2,2,26,19,7
19,2018-08-27,14,16,-1,2.4,3.25,3,1.56,1,2,34,22,12
20,2018-08-31,11,8,1,2.75,3.25,2.62,1.45059625212947,2,1,31,22,9
21,2018-08-31,4,15,-1,1.9,3.2,4.75,1.91194968553459,0,0,28,16,12
22,2018-08-31,13,18,-1,1.57,4,6,2.4,0,1,28,20,8
