Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Real Madrid,24,16,6,2,48,20,+28,54,44.0,25.2,+18.7,+0.78,L W D W D,35731,Karim Benzema - 17,Thibaut Courtois,
2,Sevilla,24,14,8,2,36,16,+20,50,27.6,21.3,+6.2,+0.26,W D D D W,27288,Rafa Mir - 7,Yassine Bounou,
3,Betis,23,12,4,7,41,27,+14,40,35.2,28.5,+6.8,+0.29,L D W W L,38985,Juanmi - 12,Rui Silva,
4,Ath Madrid,23,11,6,6,42,33,+9,39,33.4,19.8,+13.7,+0.59,W D W L W,45427,Ángel Correa - 10,Jan Oblak,
5,Barcelona,22,10,8,4,36,25,+11,38,34.7,21.1,+13.6,+0.62,D W D W W,46299,Memphis Depay - 8,Marc-André ter Stegen,
6,Villarreal,24,9,9,6,38,23,+15,36,38.0,26.4,+11.5,+0.48,D L W W D,13594,Gerard Moreno - 8,Gerónimo Rulli,
7,Sociedad,22,9,8,5,22,21,+1,35,27.7,22.4,+5.3,+0.24,L D W D D,25490,Mikel Oyarzabal - 7,Álex Remiro,
8,Ath Bilbao,23,8,10,5,23,18,+5,34,29.3,22.0,+7.4,+0.32,L W D W W,29637,Iñaki Williams Oihan Sancet - 5,Unai Simón,
9,Osasuna,24,8,8,8,25,27,-2,32,23.5,24.1,-0.6,-0.02,W L W D W,15980,Kike - 5,Sergio Herrera,
10,Celta,24,8,7,9,28,25,+3,31,26.8,30.2,-3.5,-0.14,L W D W D,9085,Iago Aspas - 11,Matías Dituro,
11,Vallecano,23,9,4,10,27,27,0,31,28.1,28.3,-0.3,-0.01,L D L L L,7083,Radamel Falcao Álvaro García - 5,Stole Dimitrievski,
12,Valencia,23,7,9,7,35,36,-1,30,26.3,29.8,-3.5,-0.15,L L D L D,25635,Gonçalo Guedes - 8,Jasper Cillessen,
13,Espanol,23,7,6,10,27,32,-5,27,26.6,30.1,-3.5,-0.15,W L D L L,16328,Raúl de Tomás - 12,Diego López,
14,Elche,24,6,8,10,26,33,-7,26,21.9,35.8,-13.9,-0.58,W W D W L,13120,Pere Milla Lucas Boyé - 7,Édgar Badía Kiko Casilla,
15,Getafe,24,6,7,11,23,27,-4,25,18.6,26.4,-7.8,-0.32,L W D W L,7963,Enes Ünal - 11,David Soria,
16,Granada,23,5,9,9,26,34,-8,24,22.0,33.6,-11.6,-0.50,D D L L L,12382,Jorge Molina - 7,Luís Maximiano,
17,Mallorca,22,5,8,9,19,34,-15,23,21.7,27.9,-6.2,-0.28,L L L L W,10761,Dani Rodríguez - 3,Manolo Reina,
18,Cadiz,24,3,10,11,20,38,-18,19,21.8,39.6,-17.8,-0.74,L D W L D,12452,Anthony Lozano - 5,Jeremías Ledesma,
19,Alaves,23,4,5,14,17,38,-21,17,21.5,32.1,-10.6,-0.46,D D L L L,9942,Joselu - 11,Fernando Pacheco,
20,Levante,22,1,8,13,21,46,-25,11,26.1,30.0,-3.9,-0.18,L L W L L,14272,José Luis Morales - 6,Aitor Fernández,
